"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Allen Iverson","PHI","28:00","10","18","2","2","4","5","2","0","2","9","2","0","5","0","26",".556","1.000",".800"
"Vince Carter","TOR","28:00","6","11","0","2","0","0","2","2","4","2","2","0","2","0","12",".545",".000",""
"Alonzo Mourning","MIA","27:00","7","11","0","0","1","2","2","5","7","1","3","4","1","4","15",".636","",".500"
"Eddie Jones","CHH","21:00","4","7","2","3","0","0","1","3","4","3","1","0","1","1","10",".571",".667",""
"Grant Hill","DET","19:00","3","7","0","1","1","1","0","3","3","5","1","0","3","0","7",".429",".000","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Reggie Miller","IND","21:00","1","7","1","6","2","2","0","2","2","3","1","0","1","1","5",".143",".167","1.000"
"Allan Houston","NYK","18:00","3","10","1","3","4","4","0","0","0","2","1","0","1","1","11",".300",".333","1.000"
"Ray Allen","MIL","17:00","4","13","1","6","5","6","1","0","1","2","3","1","3","2","14",".308",".167",".833"
"Glenn Robinson","MIL","17:00","5","10","0","0","0","0","2","4","6","0","0","0","0","0","10",".500","",""
"Dikembe Mutombo","ATL","16:00","2","4","0","0","0","0","2","6","8","0","0","0","2","0","4",".500","",""
"Jerry Stackhouse","DET","14:00","4","7","0","0","0","0","0","1","1","2","0","0","1","2","8",".571","",""
"Dale Davis","IND","14:00","2","3","0","0","0","0","3","5","8","1","0","0","0","0","4",".667","",""
"Team Totals","","240","51","108","7","23","17","20","15","31","46","30","14","5","20","11","126",".472",".304",".850"
