Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Rolando Blackman,G,6-6,190,Dallas Mavericks,Western All-Star Replacement Selection,1981 Rnd 1 Pick 9,Panama United States
Tom Chambers,PF,6-10,220,Phoenix Suns,Western All-Star Coaches Selection,1981 Rnd 1 Pick 8,United States
Clyde Drexler,SG,6-7,210,Portland Trail Blazers,Western All-Star Coaches Selection,1983 Rnd 1 Pick 14,United States
A.C. Green,PF,6-9,220,Los Angeles Lakers,Western All-Star Fan Vote Selection,1985 Rnd 1 Pick 23,United States
Kevin Johnson,PG,6-1,180,Phoenix Suns,Western All-Star Coaches Selection,1987 Rnd 1 Pick 7,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Fat Lever,PG,6-3,170,Denver Nuggets,Western All-Star Coaches Selection,1982 Rnd 1 Pick 11,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
Chris Mullin,SF,6-7,215,Golden State Warriors,Western All-Star Coaches Selection,1985 Rnd 1 Pick 7,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 1,Nigeria United States
David Robinson,C,7-1,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
John Stockton,PG,6-1,170,Utah Jazz,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 16,United States
James Worthy,SF,6-9,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1982 Rnd 1 Pick 1,United States
