"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Magic Johnson","LAL","31:00","7","14","0","0","7","8","2","3","5","15","1","0","3","2","21",".500","",".875"
"Ralph Sampson","HOU","29:00","10","15","0","0","4","6","3","7","10","1","0","1","1","5","24",".667","",".667"
"George Gervin","SAS","25:00","10","12","0","0","3","4","0","3","3","1","3","1","4","2","23",".833","",".750"
"Kareem Abdul-Jabbar","LAL","23:00","5","10","0","0","1","2","0","6","6","1","1","1","1","5","11",".500","",".500"
"Adrian Dantley","UTA","23:00","2","6","0","0","6","6","0","2","2","1","1","0","2","4","10",".333","","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Rolando Blackman","DAL","23:00","7","14","0","0","1","2","1","2","3","2","1","1","0","1","15",".500","",".500"
"Norm Nixon","LAC","19:00","5","7","0","0","1","2","0","2","2","8","1","0","1","0","11",".714","",".500"
"Larry Nance","PHO","15:00","7","8","0","0","2","2","1","4","5","0","0","2","2","5","16",".875","","1.000"
"Hakeem Olajuwon","HOU","15:00","2","2","0","0","2","6","2","3","5","1","0","2","0","1","6","1.000","",".333"
"Alex English","DEN","14:00","0","3","0","0","0","0","1","1","2","1","0","0","2","1","0",".000","",""
"Jack Sikma","SEA","12:00","0","2","0","0","0","0","0","2","2","0","0","1","0","1","0",".000","",""
"Calvin Natt","DEN","11:00","1","3","0","0","1","2","0","3","3","1","0","0","1","1","3",".333","",".500"
"Team Totals","","240","56","96","0","0","28","40","10","38","48","32","8","9","17","28","140",".583","",".700"
