Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1969 Rnd 1 Pick 1,United States
Rolando Blackman,G,6-6,190,Dallas Mavericks,Western All-Star Coaches Selection,1981 Rnd 1 Pick 9,Panama United States
Adrian Dantley,SF,6-5,208,Utah Jazz,Western All-Star Coaches Selection,1976 Rnd 1 Pick 6,United States
Clyde Drexler,SG,6-7,210,Portland Trail Blazers,Western All-Star Coaches Selection,1983 Rnd 1 Pick 14,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Coaches Selection,1976 Rnd 2 Pick 6,United States
Artis Gilmore,C,7-2,240,San Antonio Spurs,Western All-Star Coaches Selection,1971 Rnd 7 Pick 15,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Marques Johnson,GF,6-7,218,Los Angeles Clippers,Western All-Star Coaches Selection,1977 Rnd 1 Pick 3,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Coaches Selection,1984 Rnd 1 Pick 1,Nigeria United States
Alvin Robertson,SG,6-3,185,San Antonio Spurs,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 7,United States
Ralph Sampson,C,7-4,228,Houston Rockets,Western All-Star Fan Vote Selection,1983 Rnd 1 Pick 1,United States
James Worthy,SF,6-9,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1982 Rnd 1 Pick 1,United States
