"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Magic Johnson","LAL","33:00","7","16","0","1","3","4","3","2","5","16","5","0","7","2","17",".438",".000",".750"
"Kareem Abdul-Jabbar","LAL","32:00","9","12","0","0","2","3","2","4","6","5","1","4","1","1","20",".750","",".667"
"Maurice Lucas","PHO","27:00","3","8","0","0","0","1","1","6","7","1","0","0","1","1","6",".375","",".000"
"Alex English","DEN","23:00","7","14","0","0","0","1","2","2","4","0","1","2","1","2","14",".500","",".000"
"David Thompson","SEA","17:00","5","7","0","0","0","0","0","1","1","2","1","0","3","2","10",".714","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Jim Paxson","POR","17:00","5","7","0","0","1","2","0","0","0","1","2","0","4","0","11",".714","",".500"
"Jack Sikma","SEA","17:00","4","6","0","0","0","0","1","2","3","1","1","1","1","2","8",".667","",""
"Artis Gilmore","SAS","16:00","2","4","0","0","1","2","1","4","5","1","1","0","1","4","5",".500","",".500"
"Jamaal Wilkes","LAL","15:00","4","6","0","0","2","2","1","1","2","2","1","0","2","0","10",".667","","1.000"
"Gus Williams","SEA","15:00","3","9","0","0","0","0","1","0","1","4","1","0","3","1","6",".333","",""
"George Gervin","SAS","14:00","3","8","1","1","2","2","0","0","0","3","2","0","0","3","9",".375","1.000","1.000"
"Kiki Vandeweghe","DEN","14:00","3","4","0","0","1","2","0","3","3","1","1","0","0","0","7",".750","",".500"
"Team Totals","","240","55","101","1","2","12","19","12","25","37","37","17","7","24","18","123",".545",".500",".632"
