"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Isiah Thomas","DET","36:00","11","19","0","1","8","9","0","1","1","10","5","0","5","2","30",".579",".000",".889"
"Larry Bird","BOS","35:00","8","18","2","4","5","6","2","6","8","5","7","0","4","5","23",".444",".500",".833"
"Moses Malone","PHI","34:00","5","12","0","0","6","9","5","8","13","0","1","0","1","4","16",".417","",".667"
"Sidney Moncrief","MIL","26:00","4","11","1","1","7","7","3","0","3","1","0","1","0","0","16",".364","1.000","1.000"
"Julius Erving","PHI","19:00","4","10","0","0","0","2","1","3","4","2","2","0","2","2","8",".400","",".000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Buck Williams","NJN","20:00","5","8","0","0","3","5","3","4","7","4","0","0","1","0","13",".625","",".600"
"Kevin McHale","BOS","20:00","3","8","0","0","2","2","3","7","10","2","0","4","0","4","8",".375","","1.000"
"Dominique Wilkins","ATL","17:00","6","15","0","0","1","2","2","1","3","2","0","1","1","2","13",".400","",".500"
"Maurice Cheeks","PHI","14:00","3","6","0","0","0","0","0","0","0","2","2","0","3","0","6",".500","",""
"Jeff Malone","WSB","12:00","3","5","0","0","0","0","0","1","1","4","1","0","0","0","6",".600","",""
"Robert Parish","BOS","7:00","0","0","0","0","0","2","0","1","1","0","0","1","1","0","0","","",".000"
"Team Totals","","240","52","112","3","6","32","44","19","32","51","32","18","7","18","19","139",".464",".500",".727"
