"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Michael Jordan","CHI","26:00","5","14","0","0","4","7","3","8","11","11","2","0","3","4","14",".357","",".571"
"Scottie Pippen","CHI","25:00","4","9","0","3","0","0","0","3","3","2","0","0","2","0","8",".444",".000",""
"Anfernee Hardaway","ORL","24:00","7","10","3","5","2","2","4","3","7","3","2","0","1","2","19",".700",".600","1.000"
"Grant Hill","DET","22:00","4","7","0","0","3","4","2","1","3","2","1","1","3","2","11",".571","",".750"
"Dikembe Mutombo","ATL","15:00","1","5","0","0","1","2","2","6","8","0","0","1","1","0","3",".200","",".500"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Glen Rice","CHH","25:00","10","24","4","7","2","2","1","0","1","1","2","0","1","2","26",".417",".571","1.000"
"Vin Baker","MIL","24:00","8","12","0","0","3","4","7","5","12","1","0","0","0","2","19",".667","",".750"
"Christian Laettner","ATL","24:00","3","5","0","0","1","1","4","7","11","2","1","1","2","4","7",".600","","1.000"
"Terrell Brandon","CLE","17:00","4","11","2","4","0","0","1","2","3","8","2","0","0","2","10",".364",".500",""
"Tim Hardaway","MIA","14:00","4","10","2","6","0","0","0","3","3","2","1","0","2","1","10",".400",".333",""
"Chris Webber","WSB","14:00","1","4","0","0","0","0","1","3","4","3","1","0","3","3","2",".250","",""
"Joe Dumars","DET","10:00","1","4","1","4","0","0","0","1","1","1","0","0","0","0","3",".250",".250",""
"Team Totals","","240","52","115","12","29","16","22","25","42","67","36","12","3","18","22","132",".452",".414",".727"
