"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Magic Johnson","LAL","39:00","4","15","0","1","9","9","1","5","6","19","2","2","8","2","17",".267",".000","1.000"
"Karl Malone","UTA","33:00","9","19","0","0","4","5","4","6","10","2","2","0","3","4","22",".474","",".800"
"Fat Lever","DEN","31:00","7","14","0","0","3","4","0","4","4","3","0","0","0","4","17",".500","",".750"
"Hakeem Olajuwon","HOU","28:00","8","13","0","0","5","7","7","2","9","2","2","2","4","3","21",".615","",".714"
"Alex English","DEN","22:00","5","10","0","0","0","0","2","1","3","4","1","0","0","0","10",".500","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Clyde Drexler","POR","15:00","3","5","0","1","6","6","2","3","5","0","1","0","1","3","12",".600",".000","1.000"
"Kareem Abdul-Jabbar","LAL","14:00","4","9","0","0","2","2","2","2","4","0","0","0","0","3","10",".444","","1.000"
"James Worthy","LAL","13:00","2","8","0","0","0","1","1","2","3","1","0","1","0","1","4",".250","",".000"
"Xavier McDaniel","SEA","13:00","1","9","0","0","0","0","1","1","2","0","0","0","1","1","2",".111","",""
"Mark Aguirre","DAL","12:00","5","10","1","3","3","3","0","1","1","1","1","0","3","3","14",".500",".333","1.000"
"Alvin Robertson","SAS","12:00","1","3","0","0","0","0","0","0","0","1","2","0","2","1","2",".333","",""
"James Donaldson","DAL","8:00","0","0","0","0","2","2","1","5","6","1","0","2","0","2","2","","","1.000"
"Team Totals","","240","49","115","1","5","34","39","21","32","53","34","11","7","22","27","133",".426",".200",".872"
