"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Gary Payton","SEA","24:00","3","7","1","3","0","0","2","1","3","13","2","0","4","0","7",".429",".333",""
"Kobe Bryant","LAL","22:00","7","16","2","3","2","2","2","4","6","1","2","0","1","1","18",".438",".667","1.000"
"Kevin Garnett","MIN","21:00","6","11","0","1","0","0","1","3","4","2","2","1","3","0","12",".545",".000",""
"Shaquille O'Neal","LAL","18:00","5","10","0","0","2","4","2","2","4","1","0","0","2","2","12",".500","",".500"
"Karl Malone","UTA","17:00","2","4","0","0","0","0","0","3","3","2","2","0","0","1","4",".500","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Eddie Jones","LAL","25:00","7","19","0","7","1","2","7","4","11","1","2","0","0","1","15",".368",".000",".500"
"David Robinson","SAS","22:00","3","4","0","0","9","10","2","4","6","0","2","2","2","1","15",".750","",".900"
"Vin Baker","SEA","21:00","3","12","0","0","2","2","6","2","8","0","1","0","0","1","8",".250","","1.000"
"Nick Van Exel","LAL","20:00","5","14","1","6","2","2","1","2","3","2","0","0","2","0","13",".357",".167","1.000"
"Jason Kidd","PHO","19:00","0","1","0","0","0","0","0","1","1","9","0","0","2","2","0",".000","",""
"Mitch Richmond","SAC","17:00","4","11","0","2","0","0","0","1","1","2","0","0","0","0","8",".364",".000",""
"Tim Duncan","SAS","14:00","1","4","0","1","0","0","1","10","11","1","0","0","2","0","2",".250",".000",""
"Team Totals","","240","46","113","4","23","18","22","24","37","61","34","13","3","18","9","114",".407",".174",".818"
