"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kareem Abdul-Jabbar","LAL","32:00","9","15","0","0","3","4","2","5","7","2","2","2","5","4","21",".600","",".750"
"James Worthy","LAL","28:00","10","19","0","2","0","0","2","1","3","2","0","2","1","3","20",".526",".000",""
"Magic Johnson","LAL","28:00","1","3","0","1","4","4","0","4","4","15","1","0","9","4","6",".333",".000","1.000"
"Ralph Sampson","HOU","21:00","7","11","0","0","2","2","1","3","4","1","0","0","2","4","16",".636","","1.000"
"Alvin Robertson","SAS","20:00","2","6","0","0","0","0","1","8","9","5","0","0","4","1","4",".333","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Rolando Blackman","DAL","22:00","6","11","0","0","0","0","1","3","4","8","2","1","1","1","12",".545","",""
"Adrian Dantley","UTA","17:00","3","8","0","0","2","2","1","6","7","3","1","0","0","1","8",".375","","1.000"
"Alex English","DEN","16:00","8","12","0","0","0","0","1","0","1","2","0","1","0","0","16",".667","",""
"Clyde Drexler","POR","15:00","5","7","0","1","0","0","0","4","4","4","3","1","3","3","10",".714",".000",""
"Hakeem Olajuwon","HOU","15:00","1","8","0","0","1","2","1","4","5","0","1","2","1","3","3",".125","",".500"
"Artis Gilmore","SAS","13:00","3","4","0","0","4","4","1","1","2","1","2","0","0","4","10",".750","","1.000"
"Marques Johnson","LAC","13:00","3","6","0","0","0","0","2","1","3","2","0","0","1","3","6",".500","",""
"Team Totals","","240","58","110","0","4","16","18","13","40","53","45","12","9","27","31","132",".527",".000",".889"
