Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Vin Baker,PF,6-11,240,Seattle SuperSonics,Western All-Star Coaches Selection,1993 Rnd 1 Pick 8,United States
Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Coaches Selection,1997 Rnd 1 Pick 1,United States
Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
Eddie Jones,G-F,6-6,200,Los Angeles Lakers,Western All-Star Coaches Selection,1994 Rnd 1 Pick 10,United States
Jason Kidd,PG,6-4,210,Phoenix Suns,Western All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Fan Vote Selection,1985 Rnd 1 Pick 13,United States
Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Fan Vote Selection,1990 Rnd 1 Pick 2,United States
Mitch Richmond,SG,6-5,215,Sacramento Kings,Western All-Star Coaches Selection,1988 Rnd 1 Pick 5,United States
David Robinson,C,7-1,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
Nick Van Exel,PG,6-1,170,Los Angeles Lakers,Western All-Star Coaches Selection,1993 Rnd 2 Pick 10,United States
