Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1969 Rnd 1 Pick 1,United States
Otis Birdsong,GF,6-3,190,Kansas City Kings,Western All-Star Coaches Selection,1977 Rnd 1 Pick 2,United States
Adrian Dantley,SF,6-5,208,Utah Jazz,Western All-Star Fan Vote Selection,1976 Rnd 1 Pick 6,United States
Walter Davis,GF,6-6,193,Phoenix Suns,Western All-Star Fan Vote Selection,1977 Rnd 1 Pick 5,United States
George Gervin,GF,6-7,180,San Antonio Spurs,Western All-Star Fan Vote Selection,1974 Rnd 3 Pick 4,United States
Dennis Johnson,PG,6-4,185,Phoenix Suns,Western All-Star Coaches Selection,1976 Rnd 2 Pick 12,United States
Moses Malone,C,6-10,215,Houston Rockets,Western All-Star Coaches Selection,"1975 NBA Draft, Undrafted",United States
Truck Robinson,F,6-7,225,Phoenix Suns,Western All-Star Coaches Selection,1974 Rnd 2 Pick 4,United States
Jack Sikma,C,6-11,230,Seattle SuperSonics,Western All-Star Coaches Selection,1977 Rnd 1 Pick 8,United States
Paul Westphal,G,6-4,195,Seattle SuperSonics,Western All-Star Fan Vote Selection,1972 Rnd 1 Pick 10,United States
Jamaal Wilkes,GF,6-6,190,Los Angeles Lakers,Western All-Star Coaches Selection,1974 Rnd 1 Pick 11,United States
