Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Replacement Selection,1969 Rnd 1 Pick 1,United States
Tom Chambers,PF,6-10,220,Phoenix Suns,Western All-Star Coaches Selection,1981 Rnd 1 Pick 8,United States
Clyde Drexler,SG,6-7,210,Portland Trail Blazers,Western All-Star Coaches Selection,1983 Rnd 1 Pick 14,United States
Kevin Duckworth,C,7-0,275,Portland Trail Blazers,Western All-Star Coaches Selection,1986 Rnd 2 Pick 9,United States
Mark Eaton,C,7-4,275,Utah Jazz,Western All-Star Coaches Selection,1979 Rnd 5 Pick 19,United States
Dale Ellis,GF,6-7,205,Seattle SuperSonics,Western All-Star Fan Vote Selection,1983 Rnd 1 Pick 9,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Fan Vote Selection,1976 Rnd 2 Pick 6,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Fan Vote Selection,1985 Rnd 1 Pick 13,United States
Chris Mullin,SF,6-7,215,Golden State Warriors,Western All-Star Coaches Selection,1985 Rnd 1 Pick 7,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 1,Nigeria United States
John Stockton,PG,6-1,170,Utah Jazz,Western All-Star Coaches Selection,1984 Rnd 1 Pick 16,United States
James Worthy,SF,6-9,225,Los Angeles Lakers,Western All-Star Coaches Selection,1982 Rnd 1 Pick 1,United States
