"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Magic Johnson","LAL","34:00","4","10","0","0","1","2","1","6","7","13","4","0","1","2","9",".400","",".500"
"Tom Chambers","SEA","29:00","13","25","2","3","6","9","3","1","4","2","4","0","3","5","34",".520",".667",".667"
"James Worthy","LAL","29:00","10","14","0","0","2","2","6","2","8","3","1","0","2","3","22",".714","","1.000"
"Hakeem Olajuwon","HOU","26:00","2","6","0","0","6","8","4","9","13","2","0","3","1","6","10",".333","",".750"
"Alvin Robertson","SAS","16:00","2","5","0","0","2","2","2","0","2","1","0","0","1","1","6",".400","","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kareem Abdul-Jabbar","LAL","27:00","4","9","0","0","2","2","2","6","8","3","0","2","1","5","10",".444","","1.000"
"Rolando Blackman","DAL","22:00","9","15","0","0","11","13","1","3","4","1","0","0","2","2","29",".600","",".846"
"Sleepy Floyd","GSW","19:00","4","7","1","3","5","7","2","3","5","1","1","0","2","2","14",".571",".333",".714"
"Joe Barry Carroll","GSW","18:00","1","7","0","0","2","2","4","2","6","0","0","1","1","4","4",".143","","1.000"
"Mark Aguirre","DAL","17:00","3","6","1","2","2","3","1","1","2","1","0","0","2","1","9",".500",".500",".667"
"Walter Davis","PHO","15:00","3","12","1","1","0","0","2","0","2","1","0","0","0","0","7",".250","1.000",""
"Alex English","DEN","13:00","0","6","0","0","0","0","0","0","0","1","0","0","2","1","0",".000","",""
"Team Totals","","265","55","122","5","9","39","50","28","33","61","29","10","6","18","32","154",".451",".556",".780"
