Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1969 Rnd 1 Pick 1,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Fan Vote Selection,1976 Rnd 2 Pick 6,United States
George Gervin,GF,6-7,180,San Antonio Spurs,Western All-Star Coaches Selection,1974 Rnd 3 Pick 4,United States
Artis Gilmore,C,7-2,240,San Antonio Spurs,Western All-Star Coaches Selection,1971 Rnd 7 Pick 15,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Maurice Lucas,PF,6-9,215,Phoenix Suns,Western All-Star Fan Vote Selection,1974 Rnd 1 Pick 14,United States
Jim Paxson,SG,6-6,200,Portland Trail Blazers,Western All-Star Coaches Selection,1979 Rnd 1 Pick 12,United States
Jack Sikma,C,6-11,230,Seattle SuperSonics,Western All-Star Coaches Selection,1977 Rnd 1 Pick 8,United States
David Thompson,GF,6-5,195,Seattle SuperSonics,Western All-Star Fan Vote Selection,1975 Rnd 1 Pick 1,United States
Kiki Vandeweghe,SF,6-8,220,Denver Nuggets,Western All-Star Coaches Selection,1980 Rnd 1 Pick 11,United States
Jamaal Wilkes,GF,6-6,190,Los Angeles Lakers,Western All-Star Coaches Selection,1974 Rnd 1 Pick 11,United States
Gus Williams,G,6-2,175,Seattle SuperSonics,Western All-Star Coaches Selection,1975 Rnd 2 Pick 2,United States
