"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Larry Bird","BOS","32:00","2","8","0","1","2","2","0","7","7","1","4","1","2","4","6",".250",".000","1.000"
"Dominique Wilkins","ATL","30:00","12","22","0","0","5","6","1","4","5","0","0","1","0","3","29",".545","",".833"
"Michael Jordan","CHI","29:00","17","23","0","0","6","6","3","5","8","3","4","4","2","5","40",".739","","1.000"
"Isiah Thomas","DET","28:00","4","10","0","0","0","0","1","1","2","15","1","0","6","1","8",".400","",""
"Moses Malone","WSB","22:00","2","6","0","0","3","6","5","4","9","2","0","0","2","2","7",".333","",".500"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Danny Ainge","BOS","19:00","4","11","3","4","1","2","1","2","3","2","1","0","1","1","12",".364",".750",".500"
"Patrick Ewing","NYK","16:00","4","8","0","0","1","1","1","5","6","0","0","1","1","1","9",".500","","1.000"
"Doc Rivers","ATL","16:00","2","4","0","0","5","11","0","3","3","6","0","0","3","3","9",".500","",".455"
"Brad Daugherty","CLE","15:00","6","7","0","0","0","0","0","3","3","1","0","1","0","4","12",".857","",""
"Charles Barkley","PHI","15:00","1","4","0","1","2","2","1","2","3","0","1","1","3","2","4",".250",".000","1.000"
"Kevin McHale","BOS","14:00","0","1","0","0","2","2","0","1","1","1","0","2","2","2","2",".000","","1.000"
"Maurice Cheeks","PHI","4:00","0","0","0","0","0","0","0","2","2","1","0","0","0","1","0","","",""
"Team Totals","","240","54","104","3","6","27","38","13","39","52","32","11","11","22","29","138",".519",".500",".711"
