"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kobe Bryant","LAL","30:00","9","17","1","2","0","0","2","2","4","7","1","0","3","3","19",".529",".500",""
"Jason Kidd","PHO","30:00","4","6","3","4","0","0","0","4","4","2","5","0","5","3","11",".667",".750",""
"Chris Webber","SAC","29:00","6","14","0","1","2","4","4","5","9","3","1","0","1","2","14",".429",".000",".500"
"Tim Duncan","SAS","28:00","5","11","0","0","4","4","4","10","14","1","2","1","2","1","14",".455","","1.000"
"Kevin Garnett","MIN","27:00","7","12","0","0","0","0","1","3","4","4","1","3","2","0","14",".583","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Rasheed Wallace","POR","21:00","1","7","0","1","0","0","1","3","4","2","1","0","2","0","2",".143",".000",""
"Michael Finley","DAL","19:00","5","15","0","2","2","2","2","1","3","5","0","0","1","0","12",".333",".000","1.000"
"Gary Payton","SEA","18:00","0","5","0","0","0","0","2","2","4","5","2","0","1","2","0",".000","",""
"Antonio McDyess","DEN","15:00","4","9","0","0","0","0","3","5","8","2","1","0","0","2","8",".444","",""
"David Robinson","SAS","10:00","3","5","0","0","2","4","2","2","4","0","0","0","1","3","8",".600","",".500"
"Vlade Divac","SAC","9:00","4","6","0","1","0","0","1","2","3","1","2","0","1","0","8",".667",".000",""
"Karl Malone","UTA","4:00","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0",".000","",""
"Team Totals","","240","48","109","4","11","10","14","22","40","62","32","16","4","19","16","110",".440",".364",".714"
