Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1969 Rnd 1 Pick 1,United States
Adrian Dantley,SF,6-5,208,Utah Jazz,Western All-Star Fan Vote Selection,1976 Rnd 1 Pick 6,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Coaches Selection,1976 Rnd 2 Pick 6,United States
George Gervin,GF,6-7,180,San Antonio Spurs,Western All-Star Fan Vote Selection,1974 Rnd 3 Pick 4,United States
Dennis Johnson,PG,6-4,185,Phoenix Suns,Western All-Star Coaches Selection,1976 Rnd 2 Pick 12,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Coaches Selection,1979 Rnd 1 Pick 1,United States
Bernard King,SF,6-7,205,Golden State Warriors,Western All-Star Coaches Selection,1977 Rnd 1 Pick 7,United States
Moses Malone,C,6-10,215,Houston Rockets,Western All-Star Coaches Selection,"1975 NBA Draft, Undrafted",United States
Norm Nixon,G,6-2,170,Los Angeles Lakers,Western All-Star Coaches Selection,1977 Rnd 1 Pick 22,United States
Lonnie Shelton,FC,6-8,240,Seattle SuperSonics,Western All-Star Fan Vote Selection,1976 Rnd 2 Pick 8,United States
Jack Sikma,C,6-11,230,Seattle SuperSonics,Western All-Star Coaches Selection,1977 Rnd 1 Pick 8,United States
Gus Williams,G,6-2,175,Seattle SuperSonics,Western All-Star Fan Vote Selection,1975 Rnd 2 Pick 2,United States
