"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kareem Abdul-Jabbar","LAL","37:00","11","19","0","0","3","4","5","8","13","2","0","1","4","5","25",".579","",".750"
"Magic Johnson","LAL","37:00","6","13","1","3","2","2","4","5","9","22","3","2","4","3","15",".462",".333","1.000"
"George Gervin","SAS","21:00","5","6","0","0","3","3","0","2","2","1","0","1","6","5","13",".833","","1.000"
"Alex English","DEN","19:00","6","8","0","0","1","1","0","0","0","2","1","1","3","2","13",".750","","1.000"
"Adrian Dantley","UTA","18:00","1","8","0","0","0","0","0","2","2","1","1","0","1","4","2",".125","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Jack Sikma","SEA","30:00","5","12","0","0","5","6","5","7","12","1","3","0","2","4","15",".417","",".833"
"Kiki Vandeweghe","DEN","26:00","7","13","0","0","0","0","1","2","3","1","0","0","0","2","14",".538","",""
"Rickey Green","UTA","19:00","3","8","0","0","0","0","0","0","0","11","1","0","4","1","6",".375","",""
"Ralph Sampson","HOU","16:00","4","7","0","0","1","2","1","4","5","0","0","0","3","4","9",".571","",".500"
"Walter Davis","PHO","15:00","5","9","0","0","0","0","0","2","2","1","1","0","0","0","10",".556","",""
"Jim Paxson","POR","14:00","5","9","0","0","0","0","1","2","3","2","0","0","0","0","10",".556","",""
"Mark Aguirre","DAL","13:00","5","8","0","0","3","4","1","0","1","2","1","1","2","1","13",".625","",".750"
"Team Totals","","265","63","120","1","3","18","22","18","34","52","46","11","6","29","31","145",".525",".333",".818"
