Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Coaches Selection,1969 Rnd 1 Pick 1,United States
Mark Aguirre,SF,6-6,232,Dallas Mavericks,Western All-Star Coaches Selection,1981 Rnd 1 Pick 1,United States
James Donaldson,C,7-2,275,Dallas Mavericks,Western All-Star Coaches Selection,1979 Rnd 4 Pick 7,England
Clyde Drexler,SG,6-7,210,Portland Trail Blazers,Western All-Star Coaches Selection,1983 Rnd 1 Pick 14,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Fan Vote Selection,1976 Rnd 2 Pick 6,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Fat Lever,PG,6-3,170,Denver Nuggets,Western All-Star Fan Vote Selection,1982 Rnd 1 Pick 11,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Fan Vote Selection,1985 Rnd 1 Pick 13,United States
Xavier McDaniel,PF,6-7,205,Seattle SuperSonics,Western All-Star Coaches Selection,1985 Rnd 1 Pick 4,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 1,Nigeria United States
Alvin Robertson,SG,6-3,185,San Antonio Spurs,Western All-Star Coaches Selection,1984 Rnd 1 Pick 7,United States
James Worthy,SF,6-9,225,Los Angeles Lakers,Western All-Star Coaches Selection,1982 Rnd 1 Pick 1,United States
