"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Michael Jordan","CHI","31:00","9","17","0","0","0","0","1","0","1","5","2","0","1","2","18",".529","",""
"Isiah Thomas","DET","28:00","7","14","1","3","0","0","0","1","1","5","3","0","3","0","15",".500",".333",""
"Charles Barkley","PHI","28:00","6","14","0","2","0","0","2","7","9","1","0","0","3","3","12",".429",".000",""
"Scottie Pippen","CHI","21:00","6","13","0","0","2","3","4","0","4","1","2","1","1","0","14",".462","",".667"
"Patrick Ewing","NYK","17:00","4","7","0","0","2","5","2","2","4","0","2","1","2","3","10",".571","",".400"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Dennis Rodman","DET","25:00","2","7","0","0","0","0","7","6","13","0","1","0","2","1","4",".286","",""
"Joe Dumars","DET","17:00","2","7","0","2","0","0","0","1","1","3","0","0","2","0","4",".286",".000",""
"Reggie Lewis","BOS","15:00","3","7","0","0","1","2","4","0","4","2","0","1","1","3","7",".429","",".500"
"Brad Daugherty","CLE","15:00","3","8","0","0","0","0","3","3","6","1","1","0","3","0","6",".375","",""
"Mark Price","CLE","15:00","1","5","0","3","4","4","0","0","0","3","1","0","3","1","6",".200",".000","1.000"
"Michael Adams","WSB","14:00","4","8","1","3","0","0","1","0","1","1","4","0","1","1","9",".500",".333",""
"Kevin Willis","ATL","14:00","4","10","0","0","0","0","4","0","4","0","0","0","0","1","8",".400","",""
"Team Totals","","240","51","117","2","13","9","14","28","20","48","22","16","3","22","15","113",".436",".154",".643"
