"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Paul Westphal","SEA","25:00","8","12","0","0","3","3","2","2","4","3","0","1","4","3","19",".667","","1.000"
"George Gervin","SAS","24:00","5","9","0","0","1","2","1","2","3","0","2","1","2","3","11",".556","",".500"
"Kareem Abdul-Jabbar","LAL","23:00","6","9","0","0","3","3","2","4","6","4","0","4","3","3","15",".667","","1.000"
"Walter Davis","PHO","22:00","5","9","0","0","2","2","1","6","7","1","0","0","1","2","12",".556","","1.000"
"Adrian Dantley","UTA","21:00","3","9","0","0","2","2","2","3","5","0","1","0","0","1","8",".333","","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Jamaal Wilkes","LAL","25:00","6","12","0","0","3","3","2","6","8","3","2","0","2","3","15",".500","","1.000"
"Dennis Johnson","PHO","24:00","5","8","0","0","9","10","1","1","2","1","3","0","2","1","19",".625","",".900"
"Moses Malone","HOU","22:00","3","8","0","0","2","4","2","4","6","3","1","0","1","3","8",".375","",".500"
"Truck Robinson","PHO","21:00","3","6","0","0","0","0","2","3","5","2","0","0","4","4","6",".500","",""
"Jack Sikma","SEA","21:00","2","5","0","1","2","2","1","3","4","4","1","1","2","5","6",".400",".000","1.000"
"Otis Birdsong","KCK","12:00","0","3","0","0","1","2","1","0","1","1","0","0","1","0","1",".000","",".500"
"Team Totals","","240","46","90","0","1","28","33","17","34","51","22","10","7","22","28","120",".511",".000",".848"
