Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Coaches Selection,1969 Rnd 1 Pick 1,United States
Mark Aguirre,SF,6-6,232,Dallas Mavericks,Western All-Star Coaches Selection,1981 Rnd 1 Pick 1,United States
Rolando Blackman,G,6-6,190,Dallas Mavericks,Western All-Star Coaches Selection,1981 Rnd 1 Pick 9,Panama United States
Joe Barry Carroll,FC,7-0,225,Golden State Warriors,Western All-Star Coaches Selection,1980 Rnd 1 Pick 1,United States
Tom Chambers,PF,6-10,220,Seattle SuperSonics,Western All-Star Replacement Selection,1981 Rnd 1 Pick 8,United States
Walter Davis,GF,6-6,193,Phoenix Suns,Western All-Star Coaches Selection,1977 Rnd 1 Pick 5,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Coaches Selection,1976 Rnd 2 Pick 6,United States
Sleepy Floyd,PG,6-3,170,Golden State Warriors,Western All-Star Coaches Selection,1982 Rnd 1 Pick 13,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 1,Nigeria United States
Alvin Robertson,SG,6-3,185,San Antonio Spurs,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 7,United States
Ralph Sampson,C,7-4,228,Houston Rockets,Western All-Star Fan Vote Selection,1983 Rnd 1 Pick 1,United States
James Worthy,SF,6-9,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1982 Rnd 1 Pick 1,United States
