Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Gilbert Arenas,G,6-3,191,Washington Wizards,Eastern All-Star Coaches Selection,2001 Rnd 2 Pick 2,United States
Vince Carter,SF,6-6,220,New Jersey Nets,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
Grant Hill,SF,6-8,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States
Zydrunas Ilgauskas,C,7-3,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania
Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
LeBron James,F,6-9,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
Antawn Jamison,F,6-9,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States
Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
Shaquille O'Neal,C,7-1,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
Dwyane Wade,SG,6-4,220,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 5,United States
Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States
