"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Michael Jordan","CHI","29:00","8","17","1","1","0","0","1","4","5","2","5","1","5","1","17",".471","1.000",""
"Isiah Thomas","DET","27:00","7","12","1","1","0","0","1","3","4","9","3","0","1","0","15",".583","1.000",""
"Patrick Ewing","NYK","27:00","5","9","0","0","2","2","1","9","10","1","1","5","5","5","12",".556","","1.000"
"Larry Bird","BOS","23:00","3","8","0","1","2","2","2","6","8","3","3","0","3","1","8",".375",".000","1.000"
"Charles Barkley","PHI","22:00","7","12","1","1","2","3","2","2","4","0","1","1","2","1","17",".583","1.000",".667"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Robert Parish","BOS","21:00","7","11","0","0","0","1","2","2","4","2","0","1","1","4","14",".636","",".000"
"Kevin McHale","BOS","20:00","6","11","1","1","0","0","2","6","8","1","0","0","0","4","13",".545","1.000",""
"Joe Dumars","DET","18:00","3","4","2","2","1","2","0","1","1","5","0","0","3","0","9",".750","1.000",".500"
"Dominique Wilkins","ATL","16:00","5","10","1","1","2","2","0","0","0","4","1","0","0","1","13",".500","1.000","1.000"
"Reggie Miller","IND","14:00","2","3","0","1","0","0","0","1","1","3","1","0","0","1","4",".667",".000",""
"Scottie Pippen","CHI","12:00","2","4","0","1","0","0","0","1","1","0","1","1","1","1","4",".500",".000",""
"Dennis Rodman","DET","11:00","2","4","0","0","0","0","3","1","4","1","0","1","2","1","4",".500","",""
"Team Totals","","240","57","105","7","10","9","12","14","36","50","31","16","10","23","20","130",".543",".700",".750"
