Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Ray Allen,SG,6-5,205,Boston Celtics,Eastern All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States
Chris Bosh,PF,6-11,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
Kevin Garnett,PF,6-11,240,Boston Celtics,Eastern All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
Danny Granger,GF,6-9,222,Indiana Pacers,Eastern All-Star Coaches Selection,2005 Rnd 1 Pick 17,United States
Devin Harris,G,6-3,185,New Jersey Nets,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 5,United States
Dwight Howard,C,6-11,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States
Allen Iverson,G,6-0,165,Detroit Pistons,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
LeBron James,F,6-9,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
Joe Johnson,SG,6-7,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States
Rashard Lewis,F,6-10,235,Orlando Magic,Eastern All-Star Coaches Selection,1998 Rnd 2 Pick 3,United States
Jameer Nelson,G,6-0,190,Orlando Magic,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 20,United States
Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
Dwyane Wade,SG,6-4,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
Mo Williams,G,6-1,198,Cleveland Cavaliers,Eastern All-Star Replacement Selection,2003 Rnd 2 Pick 18,United States
