"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kobe Bryant","LAL","30:00","12","25","0","4","7","7","2","3","5","5","1","0","0","2","31",".480",".000","1.000"
"Tim Duncan","SAS","29:00","7","11","0","0","0","0","3","11","14","2","0","2","3","1","14",".636","",""
"Kevin Garnett","MIN","24:00","7","15","0","1","0","0","6","6","12","2","2","0","0","1","14",".467",".000",""
"Chris Webber","SAC","20:00","3","7","1","2","1","4","3","0","3","4","1","0","2","2","8",".429",".500",".250"
"Steve Francis","HOU","18:00","1","8","0","1","1","2","1","1","2","3","2","0","2","1","3",".125",".000",".500"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Dirk Nowitzki","DAL","24:00","5","11","1","4","1","1","2","6","8","3","0","0","2","1","12",".455",".250","1.000"
"Steve Nash","DAL","24:00","3","9","2","4","0","0","2","1","3","9","1","0","0","1","8",".333",".500",""
"Gary Payton","SEA","22:00","7","13","4","6","0","0","0","1","1","6","3","0","3","1","18",".538",".667",""
"Elton Brand","LAC","19:00","3","5","0","0","0","0","5","5","10","1","0","1","2","2","6",".600","",""
"Peja Stojaković","SAC","18:00","4","10","3","5","0","0","2","0","2","1","0","0","0","0","11",".400",".600",""
"Wally Szczerbiak","MIN","12:00","4","6","2","3","0","0","1","2","3","3","1","0","0","0","10",".667",".667",""
"Team Totals","","240","56","120","13","30","10","14","27","36","63","39","11","3","14","12","135",".467",".433",".714"
