Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kareem Abdul-Jabbar,C,7-2,225,Los Angeles Lakers,Western All-Star Fan Vote Selection,1969 Rnd 1 Pick 1,United States
Mark Aguirre,SF,6-6,232,Dallas Mavericks,Western All-Star Coaches Selection,1981 Rnd 1 Pick 1,United States
Adrian Dantley,SF,6-5,208,Utah Jazz,Western All-Star Fan Vote Selection,1976 Rnd 1 Pick 6,United States
Walter Davis,GF,6-6,193,Phoenix Suns,Western All-Star Coaches Selection,1977 Rnd 1 Pick 5,United States
Alex English,SF,6-7,190,Denver Nuggets,Western All-Star Fan Vote Selection,1976 Rnd 2 Pick 6,United States
George Gervin,GF,6-7,180,San Antonio Spurs,Western All-Star Fan Vote Selection,1974 Rnd 3 Pick 4,United States
Rickey Green,PG,6-0,170,Utah Jazz,Western All-Star Coaches Selection,1977 Rnd 1 Pick 16,United States
Magic Johnson,PG,6-9,255,Los Angeles Lakers,Western All-Star Fan Vote Selection,1979 Rnd 1 Pick 1,United States
Jim Paxson,SG,6-6,200,Portland Trail Blazers,Western All-Star Coaches Selection,1979 Rnd 1 Pick 12,United States
Ralph Sampson,C,7-4,228,Houston Rockets,Western All-Star Coaches Selection,1983 Rnd 1 Pick 1,United States
Jack Sikma,C,6-11,230,Seattle SuperSonics,Western All-Star Coaches Selection,1977 Rnd 1 Pick 8,United States
Kiki Vandeweghe,SF,6-8,220,Denver Nuggets,Western All-Star Coaches Selection,1980 Rnd 1 Pick 11,United States
