Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Tiny Archibald,PG,6-1,150,Boston Celtics,Eastern All-Star Coaches Selection,1970 Rnd 2 Pick 2,United States
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Coaches Selection,1978 Rnd 1 Pick 6,United States
Bill Cartwright,C,7-1,245,New York Knicks,Eastern All-Star Coaches Selection,1979 Rnd 1 Pick 3,United States
Dave Cowens,FC,6-9,230,Boston Celtics,Eastern All-Star Coaches Selection,1970 Rnd 1 Pick 4,United States
John Drew,GF,6-6,205,Atlanta Hawks,Eastern All-Star Fan Vote Selection,1974 Rnd 2 Pick 7,United States
Julius Erving,SF,6-6,200,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1972 Rnd 1 Pick 12,United States
George Gervin,GF,6-7,180,San Antonio Spurs,Eastern All-Star Fan Vote Selection,1974 Rnd 3 Pick 4,United States
Elvin Hayes,FC,6-9,235,Washington Bullets,Eastern All-Star Coaches Selection,1968 Rnd 1 Pick 1,United States
"Eddie Johnson, Jr.",G,6-2,180,Atlanta Hawks,Eastern All-Star Fan Vote Selection,1977 Rnd 3 Pick 5,United States
Moses Malone,C,6-10,215,Houston Rockets,Eastern All-Star Fan Vote Selection,"1975 NBA Draft, Undrafted",United States
Micheal Ray Richardson,PG,6-5,189,New York Knicks,Eastern All-Star Coaches Selection,1978 Rnd 1 Pick 4,United States
Dan Roundfield,PF,6-8,205,Atlanta Hawks,Eastern All-Star Coaches Selection,1975 Rnd 2 Pick 10,United States
