"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Scottie Pippen","CHI","31:00","9","15","5","9","6","10","0","11","11","2","4","1","2","2","29",".600",".556",".600"
"Shaquille O'Neal","ORL","26:00","2","12","0","0","4","11","4","6","10","0","1","4","1","2","8",".167","",".364"
"B.J. Armstrong","CHI","22:00","5","9","1","2","0","0","1","0","1","4","0","0","1","1","11",".556",".500",""
"Derrick Coleman","NJN","18:00","1","6","0","2","0","0","1","2","3","1","1","1","0","3","2",".167",".000",""
"Kenny Anderson","NJN","16:00","3","10","0","1","0","0","1","3","4","3","0","0","4","2","6",".300",".000",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Patrick Ewing","NYK","24:00","7","15","0","0","6","7","4","4","8","1","0","0","1","2","20",".467","",".857"
"Mark Price","CLE","22:00","8","10","2","3","2","2","0","2","2","5","1","1","0","1","20",".800",".667","1.000"
"John Starks","NYK","20:00","4","9","1","3","0","0","1","2","3","3","1","0","2","1","9",".444",".333",""
"Dominique Wilkins","ATL","17:00","4","9","0","2","3","6","2","0","2","4","0","0","0","1","11",".444",".000",".500"
"Horace Grant","CHI","17:00","2","8","0","0","0","0","6","2","8","2","1","2","1","0","4",".250","",""
"Mookie Blaylock","ATL","16:00","2","5","1","2","0","0","0","1","1","2","2","0","1","3","5",".400",".500",""
"Charles Oakley","NYK","11:00","1","3","0","0","0","0","1","2","3","3","0","0","0","3","2",".333","",""
"Team Totals","","240","48","111","10","24","21","36","21","35","56","30","11","9","13","21","127",".432",".417",".583"
