Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Vince Carter,SF,6-6,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
Baron Davis,G,6-3,215,New Orleans Hornets,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 3,United States
Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
Jason Kidd,PG,6-4,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
Jamaal Magloire,C,6-11,259,New Orleans Hornets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 19,Canada
Kenyon Martin,F,6-9,240,New Jersey Nets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 1,United States
Tracy McGrady,GF,6-8,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
Paul Pierce,SF,6-7,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
Michael Redd,G,6-6,220,Milwaukee Bucks,Eastern All-Star Coaches Selection,2000 Rnd 2 Pick 14,United States
Ben Wallace,FC,6-9,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States
Metta World Peace,SF,6-7,260,Indiana Pacers,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 16,United States
