"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Allen Iverson","PHI","27:00","9","21","1","1","6","6","0","2","2","5","4","0","4","0","25",".429","1.000","1.000"
"Vince Carter","TOR","24:00","7","18","1","4","1","1","1","2","3","4","1","1","3","1","16",".389",".250","1.000"
"Tracy McGrady","ORL","21:00","1","4","0","1","0","0","1","0","1","0","2","1","4","0","2",".250",".000",""
"Antonio Davis","TOR","20:00","4","11","0","0","0","0","7","2","9","0","1","1","0","0","8",".364","",""
"Anthony Mason","MIA","20:00","0","3","0","0","0","0","2","2","4","1","1","0","2","2","0",".000","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Dikembe Mutombo","ATL","28:00","2","2","0","0","2","2","3","19","22","0","2","3","2","5","6","1.000","","1.000"
"Ray Allen","MIL","19:00","7","15","1","7","0","0","1","2","3","2","1","1","1","0","15",".467",".143",""
"Stephon Marbury","NJN","18:00","5","9","2","3","0","2","0","0","0","4","0","0","3","2","12",".556",".667",".000"
"Glenn Robinson","MIL","18:00","4","7","0","0","0","0","1","3","4","1","1","1","0","0","8",".571","",""
"Latrell Sprewell","NYK","15:00","3","6","0","1","1","3","1","0","1","4","0","0","1","1","7",".500",".000",".333"
"Jerry Stackhouse","DET","15:00","3","8","1","1","0","2","2","0","2","2","0","0","0","1","7",".375","1.000",".000"
"Allan Houston","NYK","15:00","2","5","1","2","0","0","0","3","3","3","0","0","1","0","5",".400",".500",""
"Team Totals","","240","47","109","7","20","10","16","19","35","54","26","13","8","21","12","111",".431",".350",".625"
