"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Garnett","MIN","41:00","17","24","0","0","3","3","1","8","9","3","5","1","4","3","37",".708","","1.000"
"Tim Duncan","SAS","40:00","8","18","0","0","3","3","5","10","15","4","1","0","3","2","19",".444","","1.000"
"Kobe Bryant","LAL","36:00","8","17","3","5","3","6","2","5","7","6","3","2","5","5","22",".471",".600",".500"
"Steve Francis","HOU","32:00","9","12","2","3","0","0","1","1","2","9","0","0","3","1","20",".750",".667",""
"Yao Ming","HOU","17:00","1","1","0","0","0","0","0","2","2","0","0","0","0","1","2","1.000","",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Shaquille O'Neal","LAL","26:00","8","14","0","0","3","5","3","10","13","1","2","1","3","3","19",".571","",".600"
"Shawn Marion","PHO","23:00","4","9","0","1","0","0","5","2","7","4","3","1","0","1","8",".444",".000",""
"Dirk Nowitzki","DAL","16:00","4","8","1","4","0","0","0","1","1","1","0","0","2","1","9",".500",".250",""
"Steve Nash","DAL","16:00","1","3","0","2","0","1","2","3","5","3","1","0","4","1","2",".333",".000",".000"
"Gary Payton","SEA","15:00","4","6","0","1","0","0","1","0","1","2","0","0","3","3","8",".667",".000",""
"Stephon Marbury","PHO","15:00","1","3","0","2","2","2","0","1","1","6","0","0","2","0","4",".333",".000","1.000"
"Peja Stojaković","SAC","13:00","2","7","1","4","0","0","0","3","3","1","1","0","1","0","5",".286",".250",""
"Team Totals","","290","67","122","7","22","14","20","20","46","66","40","16","5","30","21","155",".549",".318",".700"
