"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Kevin Garnett","MIN","35:00","10","19","0","1","4","4","3","7","10","5","1","1","0","1","24",".526",".000","1.000"
"Jason Kidd","PHO","34:00","4","9","3","6","0","0","0","5","5","14","4","0","6","0","11",".444",".500",""
"Tim Duncan","SAS","33:00","12","14","0","0","0","0","7","7","14","4","1","1","2","3","24",".857","",""
"Kobe Bryant","LAL","28:00","7","16","1","4","0","0","1","0","1","3","2","0","1","3","15",".438",".250",""
"Shaquille O'Neal","LAL","25:00","11","20","0","0","0","2","4","5","9","3","0","3","4","2","22",".550","",".000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Rasheed Wallace","POR","21:00","3","6","0","0","3","4","2","2","4","0","1","1","0","0","9",".500","",".750"
"Gary Payton","SEA","20:00","1","8","0","4","3","3","0","4","4","8","2","0","2","1","5",".125",".000","1.000"
"Chris Webber","SAC","13:00","3","10","0","0","0","0","3","5","8","3","1","0","2","2","6",".300","",""
"John Stockton","UTA","11:00","5","5","0","0","0","0","0","0","0","2","1","0","0","2","10","1.000","",""
"Michael Finley","DAL","10:00","5","6","1","2","0","0","0","1","1","0","0","0","1","0","11",".833",".500",""
"David Robinson","SAS","7:00","0","1","0","0","0","0","1","1","2","0","0","0","1","1","0",".000","",""
"Karl Malone","UTA","3:00","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","",""
"Team Totals","","240","61","115","5","17","10","13","21","37","58","42","13","6","19","15","137",".530",".294",".769"
