Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Charles Barkley,PF,6-6,252,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 5,United States
Clyde Drexler,SG,6-7,210,Houston Rockets,Western All-Star Coaches Selection,1983 Rnd 1 Pick 14,United States
Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Replacement Selection,1995 Rnd 1 Pick 5,United States
Chris Gatling,PF,6-10,220,Dallas Mavericks,Western All-Star Replacement Selection,1991 Rnd 1 Pick 16,United States
Tom Gugliotta,PF,6-10,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1992 Rnd 1 Pick 6,United States
Eddie Jones,G-F,6-6,200,Los Angeles Lakers,Western All-Star Coaches Selection,1994 Rnd 1 Pick 10,United States
Shawn Kemp,C,6-10,280,Seattle SuperSonics,Western All-Star Fan Vote Selection,1989 Rnd 1 Pick 17,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
Hakeem Olajuwon,C,7-0,255,Houston Rockets,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 1,Nigeria United States
Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Fan Vote Selection,1990 Rnd 1 Pick 2,United States
Mitch Richmond,SG,6-5,215,Sacramento Kings,Western All-Star Coaches Selection,1988 Rnd 1 Pick 5,United States
Detlef Schrempf,SF,6-9,214,Seattle SuperSonics,Western All-Star Replacement Selection,1985 Rnd 1 Pick 8,Germany United States
Latrell Sprewell,SG,6-5,190,Golden State Warriors,Western All-Star Coaches Selection,1992 Rnd 1 Pick 24,United States
John Stockton,PG,6-1,170,Utah Jazz,Western All-Star Fan Vote Selection,1984 Rnd 1 Pick 16,United States
