"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Michael Jordan","CHI","36:00","10","25","0","2","6","7","3","2","5","5","2","0","10","2","26",".400",".000",".857"
"Charles Barkley","PHI","35:00","7","15","0","0","3","6","8","14","22","4","1","1","3","5","17",".467","",".500"
"Patrick Ewing","NYK","30:00","8","10","0","0","2","2","2","8","10","0","1","4","2","5","18",".800","","1.000"
"Bernard King","WSB","26:00","2","8","0","0","4","4","2","1","3","3","0","1","1","1","8",".250","","1.000"
"Joe Dumars","DET","15:00","1","4","0","1","0","0","1","1","2","1","0","0","4","1","2",".250",".000",""
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Dominique Wilkins","ATL","22:00","3","11","0","2","6","8","3","0","3","4","1","1","2","2","12",".273",".000",".750"
"Ricky Pierce","MIL","19:00","4","8","0","0","1","1","0","2","2","2","0","0","2","2","9",".500","","1.000"
"Hersey Hawkins","PHI","14:00","3","5","0","1","0","0","0","0","0","1","0","0","1","1","6",".600",".000",""
"Kevin McHale","BOS","14:00","0","3","0","1","2","2","1","2","3","2","1","0","0","2","2",".000",".000","1.000"
"Brad Daugherty","CLE","12:00","3","7","0","0","2","3","3","2","5","1","0","0","0","3","8",".429","",".667"
"Alvin Robertson","MIL","12:00","2","4","0","0","2","2","0","2","2","0","0","0","3","0","6",".500","","1.000"
"Robert Parish","BOS","5:00","1","2","0","0","0","0","1","3","4","0","0","0","1","2","2",".500","",""
"Team Totals","","240","44","102","0","7","28","35","24","37","61","23","6","7","29","26","116",".431",".000",".800"
