"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Julius Erving","PHI","32:00","7","16","0","0","2","4","3","5","8","2","1","2","4","4","16",".438","",".500"
"Larry Bird","BOS","28:00","7","12","0","0","5","8","0","12","12","5","1","1","4","3","19",".583","",".625"
"Tiny Archibald","BOS","23:00","2","5","0","0","2","2","1","1","2","7","1","0","2","3","6",".400","","1.000"
"Isiah Thomas","DET","17:00","5","7","0","0","2","4","1","0","1","4","3","0","1","1","12",".714","",".500"
"Artis Gilmore","CHI","16:00","3","6","0","0","1","1","1","2","3","2","0","1","2","4","7",".500","","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Sidney Moncrief","MIL","22:00","3","11","0","0","0","2","3","1","4","1","1","0","1","2","6",".273","",".000"
"Buck Williams","NJN","22:00","2","7","0","0","0","2","1","9","10","1","0","2","3","3","4",".286","",".000"
"Robert Parish","BOS","20:00","9","12","0","0","3","4","0","7","7","1","0","2","1","2","21",".750","",".750"
"Micheal Ray Richardson","NYK","20:00","5","10","0","0","0","0","0","2","2","4","2","0","1","1","10",".500","",""
"Kelly Tripucka","DET","15:00","3","7","0","0","0","0","0","1","1","2","0","0","1","0","6",".429","",""
"Bobby Jones","PHI","14:00","2","5","0","0","1","2","1","3","4","1","1","0","0","2","5",".400","",".500"
"Bob Lanier","MIL","11:00","3","7","0","0","2","2","2","1","3","0","0","1","1","3","8",".429","","1.000"
"Team Totals","","240","51","105","0","0","18","31","13","44","57","30","10","9","21","28","120",".486","",".581"
