Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Chauncey Billups,G,210,Denver Nuggets,United States,2010,Western,Replacement,6,3,75,1997.0,1.0,3.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2010,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2010,West,Fans,6,11,83,1997.0,1.0,1.0
Kevin Durant,SF,240,Oklahoma City Thunder,United States,2010,West,Coaches,6,10,82,2007.0,1.0,2.0
Pau Gasol,FC,250,Los Angeles Lakers,Spain,2010,West,Coaches,7,0,84,2001.0,1.0,3.0
Chris Kaman,C,265,Los Angeles Clippers,United States Germany,2010,Western,Replacement,7,0,84,2003.0,1.0,6.0
Jason Kidd,PG,210,Dallas Mavericks,United States,2010,Western,Replacement,6,4,76,1994.0,1.0,2.0
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2010,West,Fans,6,3,75,1996.0,1.0,15.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2010,West,Coaches,7,0,84,1998.0,1.0,9.0
Chris Paul,PG,175,New Orleans Hornets,United States,2010,West,Coaches,6,0,72,2005.0,1.0,4.0
Zach Randolph,PF,260,Memphis Grizzlies,United States,2010,West,Coaches,6,9,81,2001.0,1.0,19.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2010,West,Coaches,6,6,78,2006.0,1.0,6.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2010,West,Fans,6,10,82,2002.0,1.0,9.0
Deron Williams,PG,200,Utah Jazz,United States,2010,West,Coaches,6,3,75,2005.0,1.0,3.0
Chauncey Billups,G,210,Denver Nuggets,United States,2009,West,Coaches,6,3,75,1997.0,1.0,3.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2009,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2009,West,Fans,6,11,83,1997.0,1.0,1.0
Pau Gasol,FC,250,Los Angeles Lakers,Spain,2009,West,Coaches,7,0,84,2001.0,1.0,3.0
Yao Ming,C,310,Houston Rockets,China,2009,West,Fans,7,6,90,2002.0,1.0,1.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2009,West,Coaches,7,0,84,1998.0,1.0,9.0
Shaquille O'Neal,C,325,Phoenix Suns,United States,2009,West,Coaches,7,1,85,1992.0,1.0,1.0
Tony Parker,G,185,San Antonio Spurs,France,2009,West,Coaches,6,2,74,2001.0,1.0,28.0
Chris Paul,PG,175,New Orleans Hornets,United States,2009,West,Fans,6,0,72,2005.0,1.0,4.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2009,West,Coaches,6,6,78,2006.0,1.0,6.0
