"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Magic Johnson","LAL","39:00",4,15,0,1,9,9,1,5,6,19,2,2,8,2,17,0.267,0,1,"Starter","West",1988
"Karl Malone","UTA","33:00",9,19,0,0,4,5,4,6,10,2,2,0,3,4,22,0.474,NA,0.8,"Starter","West",1988
"Fat Lever","DEN","31:00",7,14,0,0,3,4,0,4,4,3,0,0,0,4,17,0.5,NA,0.75,"Starter","West",1988
"Hakeem Olajuwon","HOU","28:00",8,13,0,0,5,7,7,2,9,2,2,2,4,3,21,0.615,NA,0.714,"Starter","West",1988
"Alex English","DEN","22:00",5,10,0,0,0,0,2,1,3,4,1,0,0,0,10,0.5,NA,NA,"Starter","West",1988
"Clyde Drexler","POR","15:00",3,5,0,1,6,6,2,3,5,0,1,0,1,3,12,0.6,0,1,"Reserve","West",1988
"Kareem Abdul-Jabbar","LAL","14:00",4,9,0,0,2,2,2,2,4,0,0,0,0,3,10,0.444,NA,1,"Reserve","West",1988
"James Worthy","LAL","13:00",2,8,0,0,0,1,1,2,3,1,0,1,0,1,4,0.25,NA,0,"Reserve","West",1988
"Xavier McDaniel","SEA","13:00",1,9,0,0,0,0,1,1,2,0,0,0,1,1,2,0.111,NA,NA,"Reserve","West",1988
"Mark Aguirre","DAL","12:00",5,10,1,3,3,3,0,1,1,1,1,0,3,3,14,0.5,0.333,1,"Reserve","West",1988
"Alvin Robertson","SAS","12:00",1,3,0,0,0,0,0,0,0,1,2,0,2,1,2,0.333,NA,NA,"Reserve","West",1988
"James Donaldson","DAL","8:00",0,0,0,0,2,2,1,5,6,1,0,2,0,2,2,NA,NA,1,"Reserve","West",1988
"Michael Jordan","CHI","33:00",13,23,0,1,2,4,1,1,2,3,5,0,4,1,28,0.565,0,0.5,"Starter","East",1989
"Isiah Thomas","DET","33:00",7,13,1,3,4,6,1,1,2,14,4,0,6,2,19,0.538,0.333,0.667,"Starter","East",1989
"Charles Barkley","PHI","20:00",6,11,0,0,5,8,3,2,5,0,2,1,1,0,17,0.545,NA,0.625,"Starter","East",1989
"Moses Malone","ATL","19:00",3,9,0,0,3,3,4,4,8,0,1,1,1,1,9,0.333,NA,1,"Starter","East",1989
"Dominique Wilkins","ATL","15:00",3,8,0,0,3,3,1,1,2,0,3,0,2,0,9,0.375,NA,1,"Starter","East",1989
"Mark Price","CLE","20:00",3,9,1,4,2,2,1,2,3,1,2,0,2,2,9,0.333,0.25,1,"Reserve","East",1989
"Terry Cummings","MIL","19:00",4,9,0,0,2,2,2,3,5,1,3,1,0,4,10,0.444,NA,1,"Reserve","East",1989
"Larry Nance","CLE","17:00",5,9,0,0,0,0,3,3,6,1,1,1,0,1,10,0.556,NA,NA,"Reserve","East",1989
"Patrick Ewing","NYK","17:00",2,8,0,0,0,4,1,5,6,2,1,2,3,2,4,0.25,NA,0,"Reserve","East",1989
"Kevin McHale","BOS","16:00",5,7,0,0,0,0,1,2,3,0,0,2,1,3,10,0.714,NA,NA,"Reserve","East",1989
"Mark Jackson","NYK","16:00",3,5,1,1,2,4,1,1,2,4,1,1,2,1,9,0.6,1,0.5,"Reserve","East",1989
"Brad Daugherty","CLE","15:00",0,3,0,0,0,0,2,1,3,0,1,0,1,0,0,0,NA,NA,"Reserve","East",1989
"John Stockton","UTA","32:00",5,6,1,1,0,0,0,2,2,17,5,0,12,4,11,0.833,1,NA,"Starter","West",1989
"Alex English","DEN","29:00",8,13,0,0,0,0,1,2,3,4,2,0,3,0,16,0.615,NA,NA,"Starter","West",1989
"Karl Malone","UTA","26:00",12,17,0,0,4,6,4,5,9,3,2,0,2,3,28,0.706,NA,0.667,"Starter","West",1989
"Dale Ellis","SEA","26:00",12,16,1,1,2,2,3,3,6,2,0,0,2,2,27,0.75,1,1,"Starter","West",1989
"Hakeem Olajuwon","HOU","25:00",5,12,0,0,2,3,4,3,7,3,3,2,3,2,12,0.417,NA,0.667,"Starter","West",1989
"Clyde Drexler","POR","25:00",7,19,0,0,0,0,6,6,12,4,2,0,6,3,14,0.368,NA,NA,"Reserve","West",1989
"James Worthy","LAL","18:00",4,7,0,1,0,0,0,2,2,2,2,0,0,0,8,0.571,0,NA,"Reserve","West",1989
"Tom Chambers","PHO","16:00",4,8,0,0,6,6,2,3,5,1,0,0,2,3,14,0.5,NA,1,"Reserve","West",1989
"Chris Mullin","GSW","14:00",1,4,0,0,2,2,2,0,2,2,0,0,1,0,4,0.25,NA,1,"Reserve","West",1989
"Kareem Abdul-Jabbar","LAL","13:00",1,6,0,1,2,2,0,3,3,0,0,2,0,3,4,0.167,0,1,"Reserve","West",1989
"Mark Eaton","UTA","9:00",0,0,0,0,0,0,0,5,5,0,0,2,0,1,0,NA,NA,NA,"Reserve","West",1989
"Kevin Duckworth","POR","7:00",2,5,0,0,1,2,1,0,1,0,0,0,0,2,5,0.4,NA,0.5,"Reserve","West",1989
"Michael Jordan","CHI","29:00",8,17,1,1,0,0,1,4,5,2,5,1,5,1,17,0.471,1,NA,"Starter","East",1990
"Isiah Thomas","DET","27:00",7,12,1,1,0,0,1,3,4,9,3,0,1,0,15,0.583,1,NA,"Starter","East",1990
"Patrick Ewing","NYK","27:00",5,9,0,0,2,2,1,9,10,1,1,5,5,5,12,0.556,NA,1,"Starter","East",1990
"Larry Bird","BOS","23:00",3,8,0,1,2,2,2,6,8,3,3,0,3,1,8,0.375,0,1,"Starter","East",1990
"Charles Barkley","PHI","22:00",7,12,1,1,2,3,2,2,4,0,1,1,2,1,17,0.583,1,0.667,"Starter","East",1990
"Robert Parish","BOS","21:00",7,11,0,0,0,1,2,2,4,2,0,1,1,4,14,0.636,NA,0,"Reserve","East",1990
"Kevin McHale","BOS","20:00",6,11,1,1,0,0,2,6,8,1,0,0,0,4,13,0.545,1,NA,"Reserve","East",1990
"Joe Dumars","DET","18:00",3,4,2,2,1,2,0,1,1,5,0,0,3,0,9,0.75,1,0.5,"Reserve","East",1990
"Dominique Wilkins","ATL","16:00",5,10,1,1,2,2,0,0,0,4,1,0,0,1,13,0.5,1,1,"Reserve","East",1990
"Reggie Miller","IND","14:00",2,3,0,1,0,0,0,1,1,3,1,0,0,1,4,0.667,0,NA,"Reserve","East",1990
"Scottie Pippen","CHI","12:00",2,4,0,1,0,0,0,1,1,0,1,1,1,1,4,0.5,0,NA,"Reserve","East",1990
"Dennis Rodman","DET","11:00",2,4,0,0,0,0,3,1,4,1,0,1,2,1,4,0.5,NA,NA,"Reserve","East",1990
"Hakeem Olajuwon","HOU","31:00",2,14,0,0,4,10,9,7,16,2,1,1,4,1,8,0.143,NA,0.4,"Starter","West",1990
"Magic Johnson","LAL","25:00",9,15,4,6,0,0,1,5,6,4,0,1,3,1,22,0.6,0.667,NA,"Starter","West",1990
"James Worthy","LAL","19:00",1,11,0,0,0,0,3,1,4,0,1,0,1,1,2,0.091,NA,NA,"Starter","West",1990
"John Stockton","UTA","15:00",1,4,0,1,0,0,0,0,0,6,1,1,3,1,2,0.25,0,NA,"Starter","West",1990
"A.C. Green","LAL","12:00",0,3,0,0,0,0,0,3,3,1,0,1,1,1,0,0,NA,NA,"Starter","West",1990
"David Robinson","SAS","25:00",7,12,0,0,1,2,2,8,10,1,2,1,1,1,15,0.583,NA,0.5,"Reserve","West",1990
"Fat Lever","DEN","22:00",7,13,0,2,2,2,0,3,3,2,2,0,0,0,16,0.538,0,1,"Reserve","West",1990
"Tom Chambers","PHO","21:00",8,12,0,1,5,7,2,1,3,1,1,0,3,0,21,0.667,0,0.714,"Reserve","West",1990
"Rolando Blackman","DAL","21:00",7,9,0,0,1,1,1,1,2,2,2,0,2,1,15,0.778,NA,1,"Reserve","West",1990
"Clyde Drexler","POR","19:00",2,6,1,1,2,2,4,0,4,2,1,1,1,1,7,0.333,1,1,"Reserve","West",1990
"Chris Mullin","GSW","16:00",1,5,0,0,1,2,1,2,3,1,2,1,1,0,3,0.2,NA,0.5,"Reserve","West",1990
"Kevin Johnson","PHO","14:00",1,1,0,0,0,0,0,0,0,4,0,0,3,2,2,1,NA,NA,"Reserve","West",1990
"Michael Jordan","CHI","36:00",10,25,0,2,6,7,3,2,5,5,2,0,10,2,26,0.4,0,0.857,"Starter","East",1991
"Charles Barkley","PHI","35:00",7,15,0,0,3,6,8,14,22,4,1,1,3,5,17,0.467,NA,0.5,"Starter","East",1991
"Patrick Ewing","NYK","30:00",8,10,0,0,2,2,2,8,10,0,1,4,2,5,18,0.8,NA,1,"Starter","East",1991
"Bernard King","WSB","26:00",2,8,0,0,4,4,2,1,3,3,0,1,1,1,8,0.25,NA,1,"Starter","East",1991
"Joe Dumars","DET","15:00",1,4,0,1,0,0,1,1,2,1,0,0,4,1,2,0.25,0,NA,"Starter","East",1991
"Dominique Wilkins","ATL","22:00",3,11,0,2,6,8,3,0,3,4,1,1,2,2,12,0.273,0,0.75,"Reserve","East",1991
"Ricky Pierce","MIL","19:00",4,8,0,0,1,1,0,2,2,2,0,0,2,2,9,0.5,NA,1,"Reserve","East",1991
"Hersey Hawkins","PHI","14:00",3,5,0,1,0,0,0,0,0,1,0,0,1,1,6,0.6,0,NA,"Reserve","East",1991
"Kevin McHale","BOS","14:00",0,3,0,1,2,2,1,2,3,2,1,0,0,2,2,0,0,1,"Reserve","East",1991
"Brad Daugherty","CLE","12:00",3,7,0,0,2,3,3,2,5,1,0,0,0,3,8,0.429,NA,0.667,"Reserve","East",1991
"Alvin Robertson","MIL","12:00",2,4,0,0,2,2,0,2,2,0,0,0,3,0,6,0.5,NA,1,"Reserve","East",1991
"Robert Parish","BOS","5:00",1,2,0,0,0,0,1,3,4,0,0,0,1,2,2,0.5,NA,NA,"Reserve","East",1991
"Karl Malone","UTA","31:00",6,11,0,0,4,6,4,7,11,4,1,1,3,1,16,0.545,NA,0.667,"Starter","West",1991
"Magic Johnson","LAL","28:00",7,16,2,5,0,0,1,3,4,3,0,0,3,1,16,0.438,0.4,NA,"Starter","West",1991
"Chris Mullin","GSW","24:00",4,8,1,1,4,4,0,2,2,2,2,0,2,2,13,0.5,1,1,"Starter","West",1991
"Kevin Johnson","PHO","23:00",2,5,0,0,1,2,1,1,2,7,3,1,3,2,5,0.4,NA,0.5,"Starter","West",1991
"David Robinson","SAS","18:00",6,13,0,0,4,5,3,3,6,0,2,3,2,5,16,0.462,NA,0.8,"Starter","West",1991
"James Worthy","LAL","21:00",3,11,0,0,3,4,0,2,2,0,2,1,0,2,9,0.273,NA,0.75,"Reserve","West",1991
"Clyde Drexler","POR","19:00",4,9,0,0,4,4,2,2,4,2,1,1,0,3,12,0.444,NA,1,"Reserve","West",1991
"Kevin Duckworth","POR","19:00",2,3,0,0,2,2,2,2,4,0,1,0,2,3,6,0.667,NA,1,"Reserve","West",1991
"Tom Chambers","PHO","18:00",4,11,0,1,0,0,2,2,4,1,1,0,4,3,8,0.364,0,NA,"Reserve","West",1991
"Terry Porter","POR","15:00",2,6,0,2,0,0,1,2,3,4,2,1,3,2,4,0.333,0,NA,"Reserve","West",1991
"Tim Hardaway","GSW","12:00",2,7,1,2,0,0,2,1,3,4,2,0,0,1,5,0.286,0.5,NA,"Reserve","West",1991
"John Stockton","UTA","12:00",1,6,0,1,2,4,0,1,1,2,0,0,0,2,4,0.167,0,0.5,"Reserve","West",1991
"Michael Jordan","CHI","31:00",9,17,0,0,0,0,1,0,1,5,2,0,1,2,18,0.529,NA,NA,"Starter","East",1992
"Isiah Thomas","DET","28:00",7,14,1,3,0,0,0,1,1,5,3,0,3,0,15,0.5,0.333,NA,"Starter","East",1992
"Charles Barkley","PHI","28:00",6,14,0,2,0,0,2,7,9,1,0,0,3,3,12,0.429,0,NA,"Starter","East",1992
"Scottie Pippen","CHI","21:00",6,13,0,0,2,3,4,0,4,1,2,1,1,0,14,0.462,NA,0.667,"Starter","East",1992
"Patrick Ewing","NYK","17:00",4,7,0,0,2,5,2,2,4,0,2,1,2,3,10,0.571,NA,0.4,"Starter","East",1992
"Dennis Rodman","DET","25:00",2,7,0,0,0,0,7,6,13,0,1,0,2,1,4,0.286,NA,NA,"Reserve","East",1992
"Joe Dumars","DET","17:00",2,7,0,2,0,0,0,1,1,3,0,0,2,0,4,0.286,0,NA,"Reserve","East",1992
"Reggie Lewis","BOS","15:00",3,7,0,0,1,2,4,0,4,2,0,1,1,3,7,0.429,NA,0.5,"Reserve","East",1992
"Brad Daugherty","CLE","15:00",3,8,0,0,0,0,3,3,6,1,1,0,3,0,6,0.375,NA,NA,"Reserve","East",1992
"Mark Price","CLE","15:00",1,5,0,3,4,4,0,0,0,3,1,0,3,1,6,0.2,0,1,"Reserve","East",1992
"Michael Adams","WSB","14:00",4,8,1,3,0,0,1,0,1,1,4,0,1,1,9,0.5,0.333,NA,"Reserve","East",1992
"Kevin Willis","ATL","14:00",4,10,0,0,0,0,4,0,4,0,0,0,0,1,8,0.4,NA,NA,"Reserve","East",1992
"Magic Johnson","LAL","29:00",9,12,3,3,4,4,3,2,5,9,2,0,7,0,25,0.75,1,1,"Starter","West",1992
"Clyde Drexler","POR","28:00",10,15,2,4,0,0,2,7,9,6,0,2,1,2,22,0.667,0.5,NA,"Starter","West",1992
"Chris Mullin","GSW","24:00",6,7,1,1,0,0,0,1,1,3,0,0,1,0,13,0.857,1,NA,"Starter","West",1992
"Karl Malone","UTA","19:00",5,7,0,0,1,2,0,7,7,3,1,1,1,1,11,0.714,NA,0.5,"Starter","West",1992
"David Robinson","SAS","18:00",7,9,0,0,5,8,1,4,5,2,3,1,0,3,19,0.778,NA,0.625,"Starter","West",1992
"Jeff Hornacek","PHO","24:00",5,7,1,2,0,0,1,1,2,3,1,0,0,0,11,0.714,0.5,NA,"Reserve","West",1992
"Tim Hardaway","GSW","20:00",5,10,2,5,2,2,0,0,0,7,1,0,2,2,14,0.5,0.4,1,"Reserve","West",1992
"Hakeem Olajuwon","HOU","20:00",3,6,0,0,1,2,0,4,4,2,2,1,3,3,7,0.5,NA,0.5,"Reserve","West",1992
"John Stockton","UTA","18:00",5,8,2,3,0,0,0,1,1,5,3,0,3,2,12,0.625,0.667,NA,"Reserve","West",1992
"James Worthy","LAL","14:00",4,7,0,0,1,2,0,4,4,1,1,0,0,0,9,0.571,NA,0.5,"Reserve","West",1992
"Dan Majerle","PHO","12:00",2,5,0,2,0,0,0,3,3,2,0,0,1,0,4,0.4,0,NA,"Reserve","West",1992
"Dikembe Mutombo","DEN","10:00",2,4,0,0,0,0,1,1,2,1,1,0,2,0,4,0.5,NA,NA,"Reserve","West",1992
"Otis Thorpe","HOU","4:00",1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,"Reserve","West",1992
"Michael Jordan","CHI","36:00",10,24,1,2,9,13,3,1,4,5,4,0,6,5,30,0.417,0.5,0.692,"Starter","East",1993
"Isiah Thomas","DET","32:00",4,7,0,1,0,2,0,2,2,4,2,0,2,2,8,0.571,0,0,"Starter","East",1993
"Scottie Pippen","CHI","29:00",4,14,0,2,2,3,2,3,5,4,5,2,0,4,10,0.286,0,0.667,"Starter","East",1993
"Shaquille O'Neal","ORL","25:00",4,9,0,0,6,9,3,4,7,0,0,0,0,3,14,0.444,NA,0.667,"Starter","East",1993
"Larry Johnson","CHH","16:00",2,6,0,0,0,0,3,1,4,0,0,0,0,1,4,0.333,NA,NA,"Starter","East",1993
"Patrick Ewing","NYK","25:00",7,11,0,0,1,1,3,7,10,1,2,2,4,4,15,0.636,NA,1,"Reserve","East",1993
"Mark Price","CLE","23:00",6,11,6,9,1,2,0,1,1,4,1,0,3,5,19,0.545,0.667,0.5,"Reserve","East",1993
"Brad Daugherty","CLE","19:00",3,4,0,0,2,4,1,6,7,0,0,0,0,0,8,0.75,NA,0.5,"Reserve","East",1993
"Dominique Wilkins","ATL","18:00",2,11,1,3,4,4,4,3,7,0,1,0,1,2,9,0.182,0.333,1,"Reserve","East",1993
"Joe Dumars","DET","17:00",2,8,1,4,0,0,0,2,2,4,0,0,1,1,5,0.25,0.25,NA,"Reserve","East",1993
"Detlef Schrempf","IND","13:00",1,3,0,1,1,2,0,3,3,0,0,0,1,4,3,0.333,0,0.5,"Reserve","East",1993
"Larry Nance","CLE","12:00",3,4,0,0,1,2,1,2,3,1,1,1,0,3,7,0.75,NA,0.5,"Reserve","East",1993
"Karl Malone","UTA","34:00",11,17,0,0,6,9,3,7,10,0,1,2,3,3,28,0.647,NA,0.667,"Starter","West",1993
"Charles Barkley","PHO","34:00",5,11,1,2,5,7,0,4,4,7,4,0,4,3,16,0.455,0.5,0.714,"Starter","West",1993
"John Stockton","UTA","31:00",3,6,1,2,2,2,0,6,6,15,2,0,5,3,9,0.5,0.5,1,"Starter","West",1993
"David Robinson","SAS","26:00",7,10,0,0,7,12,2,8,10,1,0,1,1,4,21,0.7,NA,0.583,"Starter","West",1993
"Clyde Drexler","POR","11:00",1,3,0,1,0,0,1,0,1,1,0,0,2,3,2,0.333,0,NA,"Starter","West",1993
"Dan Majerle","PHO","26:00",6,11,3,6,3,4,2,5,7,3,1,2,0,2,18,0.545,0.5,0.75,"Reserve","West",1993
"Tim Hardaway","GSW","21:00",3,9,1,3,9,12,1,5,6,4,1,0,3,1,16,0.333,0.333,0.75,"Reserve","West",1993
"Hakeem Olajuwon","HOU","21:00",1,5,0,0,1,2,2,5,7,1,2,2,3,3,3,0.2,NA,0.5,"Reserve","West",1993
"Terry Porter","POR","19:00",3,8,1,5,0,0,0,0,0,3,1,0,1,1,7,0.375,0.2,NA,"Reserve","West",1993
"Danny Manning","LAC","18:00",5,5,0,0,0,0,1,3,4,1,0,0,0,1,10,1,NA,NA,"Reserve","West",1993
"Sean Elliott","SAS","15:00",1,6,0,0,3,4,1,1,2,0,0,0,1,1,5,0.167,NA,0.75,"Reserve","West",1993
"Shawn Kemp","SEA","9:00",0,2,0,0,0,0,2,0,2,0,0,0,0,3,0,0,NA,NA,"Reserve","West",1993
"Scottie Pippen","CHI","31:00",9,15,5,9,6,10,0,11,11,2,4,1,2,2,29,0.6,0.556,0.6,"Starter","East",1994
"Shaquille O'Neal","ORL","26:00",2,12,0,0,4,11,4,6,10,0,1,4,1,2,8,0.167,NA,0.364,"Starter","East",1994
"B.J. Armstrong","CHI","22:00",5,9,1,2,0,0,1,0,1,4,0,0,1,1,11,0.556,0.5,NA,"Starter","East",1994
"Derrick Coleman","NJN","18:00",1,6,0,2,0,0,1,2,3,1,1,1,0,3,2,0.167,0,NA,"Starter","East",1994
"Kenny Anderson","NJN","16:00",3,10,0,1,0,0,1,3,4,3,0,0,4,2,6,0.3,0,NA,"Starter","East",1994
"Patrick Ewing","NYK","24:00",7,15,0,0,6,7,4,4,8,1,0,0,1,2,20,0.467,NA,0.857,"Reserve","East",1994
"Mark Price","CLE","22:00",8,10,2,3,2,2,0,2,2,5,1,1,0,1,20,0.8,0.667,1,"Reserve","East",1994
"John Starks","NYK","20:00",4,9,1,3,0,0,1,2,3,3,1,0,2,1,9,0.444,0.333,NA,"Reserve","East",1994
"Dominique Wilkins","ATL","17:00",4,9,0,2,3,6,2,0,2,4,0,0,0,1,11,0.444,0,0.5,"Reserve","East",1994
"Horace Grant","CHI","17:00",2,8,0,0,0,0,6,2,8,2,1,2,1,0,4,0.25,NA,NA,"Reserve","East",1994
"Mookie Blaylock","ATL","16:00",2,5,1,2,0,0,0,1,1,2,2,0,1,3,5,0.4,0.5,NA,"Reserve","East",1994
"Charles Oakley","NYK","11:00",1,3,0,0,0,0,1,2,3,3,0,0,0,3,2,0.333,NA,NA,"Reserve","East",1994
"Hakeem Olajuwon","HOU","30:00",8,15,0,0,3,6,4,7,11,2,2,5,3,4,19,0.533,NA,0.5,"Starter","West",1994
"Mitch Richmond","SAC","24:00",5,16,0,0,0,0,0,2,2,3,0,0,2,0,10,0.313,NA,NA,"Starter","West",1994
"Shawn Kemp","SEA","22:00",3,11,0,0,0,0,6,6,12,4,0,3,6,4,6,0.273,NA,NA,"Starter","West",1994
"Karl Malone","UTA","21:00",3,9,0,0,0,0,3,4,7,2,1,0,1,2,6,0.333,NA,NA,"Starter","West",1994
"Clyde Drexler","POR","15:00",3,7,0,2,0,0,0,3,3,1,1,1,1,1,6,0.429,0,NA,"Starter","West",1994
"John Stockton","UTA","26:00",6,10,1,1,0,0,1,4,5,10,1,0,4,2,13,0.6,1,NA,"Reserve","West",1994
"David Robinson","SAS","21:00",6,13,0,0,7,10,3,2,5,0,0,2,1,2,19,0.462,NA,0.7,"Reserve","West",1994
"Clifford Robinson","POR","18:00",5,8,0,1,0,0,1,1,2,5,1,0,0,0,10,0.625,0,NA,"Reserve","West",1994
"Danny Manning","LAC","17:00",4,7,0,0,0,0,0,4,4,2,0,1,0,4,8,0.571,NA,NA,"Reserve","West",1994
"Gary Payton","SEA","17:00",3,4,0,0,0,0,2,4,6,9,0,0,0,2,6,0.75,NA,NA,"Reserve","West",1994
"Latrell Sprewell","GSW","15:00",3,8,0,2,3,7,4,3,7,1,0,0,2,1,9,0.375,0,0.429,"Reserve","West",1994
"Kevin Johnson","PHO","14:00",3,6,0,0,0,1,0,1,1,2,1,0,2,1,6,0.5,NA,0,"Reserve","West",1994
"Anfernee Hardaway","ORL","31:00",4,9,0,2,4,6,4,1,5,11,0,0,3,1,12,0.444,0,0.667,"Starter","East",1995
"Scottie Pippen","CHI","30:00",5,15,2,6,0,0,0,7,7,3,2,1,4,1,12,0.333,0.333,NA,"Starter","East",1995
"Shaquille O'Neal","ORL","26:00",9,16,0,1,4,7,4,3,7,1,3,2,2,2,22,0.563,0,0.571,"Starter","East",1995
"Reggie Miller","IND","23:00",3,9,3,6,0,0,0,0,0,2,1,1,1,0,9,0.333,0.5,NA,"Starter","East",1995
"Grant Hill","DET","20:00",5,8,0,0,0,4,0,0,0,3,2,0,1,2,10,0.625,NA,0,"Starter","East",1995
"Patrick Ewing","NYK","22:00",4,7,0,0,2,2,0,3,3,1,1,0,5,3,10,0.571,NA,1,"Reserve","East",1995
"Joe Dumars","DET","21:00",5,8,1,2,0,0,0,0,0,6,1,0,1,1,11,0.625,0.5,NA,"Reserve","East",1995
"Larry Johnson","CHH","20:00",2,3,1,1,2,2,1,3,4,2,0,0,1,0,7,0.667,1,1,"Reserve","East",1995
"Alonzo Mourning","CHH","19:00",4,9,0,1,2,3,0,8,8,1,0,1,1,5,10,0.444,0,0.667,"Reserve","East",1995
"Dana Barros","PHI","11:00",2,5,1,3,0,0,0,1,1,3,0,0,0,0,5,0.4,0.333,NA,"Reserve","East",1995
"Vin Baker","MIL","11:00",0,2,0,0,2,4,2,0,2,0,0,1,1,1,2,0,NA,0.5,"Reserve","East",1995
"Tyrone Hill","CLE","6:00",1,1,0,0,0,0,2,2,4,0,0,0,0,1,2,1,NA,NA,"Reserve","East",1995
"Hakeem Olajuwon","HOU","25:00",6,13,1,1,0,2,4,7,11,1,2,2,3,2,13,0.462,1,0,"Starter","West",1995
"Charles Barkley","PHO","23:00",7,12,1,4,0,0,5,4,9,2,2,0,2,1,15,0.583,0.25,NA,"Starter","West",1995
"Shawn Kemp","SEA","23:00",4,6,0,0,5,6,0,2,2,2,1,0,4,5,13,0.667,NA,0.833,"Starter","West",1995
"Latrell Sprewell","GSW","22:00",4,9,0,2,1,1,2,2,4,4,3,0,1,0,9,0.444,0,1,"Starter","West",1995
"Dan Majerle","PHO","20:00",4,12,2,7,0,0,1,4,5,3,0,0,0,1,10,0.333,0.286,NA,"Starter","West",1995
"Gary Payton","SEA","23:00",3,10,0,3,0,0,3,2,5,15,3,0,3,1,6,0.3,0,NA,"Reserve","West",1995
"Mitch Richmond","SAC","22:00",10,13,3,3,0,0,3,1,4,2,0,0,0,0,23,0.769,1,NA,"Reserve","West",1995
"Dikembe Mutombo","DEN","20:00",6,8,0,0,0,0,3,5,8,1,0,4,0,3,12,0.75,NA,NA,"Reserve","West",1995
"Detlef Schrempf","SEA","18:00",4,11,1,4,0,0,0,4,4,5,0,0,0,2,9,0.364,0.25,NA,"Reserve","West",1995
"Karl Malone","UTA","16:00",6,6,0,0,3,4,0,3,3,1,0,0,1,0,15,1,NA,0.75,"Reserve","West",1995
"David Robinson","SAS","14:00",3,5,0,0,4,6,0,3,3,2,2,1,1,2,10,0.6,NA,0.667,"Reserve","West",1995
"John Stockton","UTA","14:00",2,6,0,3,0,0,1,0,1,6,2,0,0,0,4,0.333,0,NA,"Reserve","West",1995
"Anfernee Hardaway","ORL","31:00",6,8,2,4,4,4,0,3,3,7,2,0,3,0,18,0.75,0.5,1,"Starter","East",1996
"Shaquille O'Neal","ORL","28:00",10,16,0,0,5,11,3,7,10,1,1,2,1,3,25,0.625,NA,0.455,"Starter","East",1996
"Grant Hill","DET","26:00",6,10,0,0,2,2,1,2,3,2,1,0,2,1,14,0.6,NA,1,"Starter","East",1996
"Scottie Pippen","CHI","25:00",4,7,0,1,0,0,2,6,8,5,3,0,6,0,8,0.571,0,NA,"Starter","East",1996
"Michael Jordan","CHI","22:00",8,11,0,0,4,4,1,3,4,1,1,0,0,1,20,0.727,NA,1,"Starter","East",1996
"Terrell Brandon","CLE","20:00",4,10,1,4,2,2,1,0,1,3,1,1,3,1,11,0.4,0.25,1,"Reserve","East",1996
"Reggie Miller","IND","18:00",4,8,0,4,0,0,0,2,2,2,1,0,1,2,8,0.5,0,NA,"Reserve","East",1996
"Juwan Howard","WSB","16:00",1,5,0,0,0,0,4,2,6,2,1,0,0,3,2,0.2,NA,NA,"Reserve","East",1996
"Glen Rice","CHH","15:00",1,5,1,2,4,4,0,1,1,2,0,0,2,2,7,0.2,0.5,1,"Reserve","East",1996
"Vin Baker","MIL","14:00",2,5,0,0,2,2,1,1,2,2,1,0,0,4,6,0.4,NA,1,"Reserve","East",1996
"Alonzo Mourning","MIA","13:00",1,6,0,0,0,0,0,1,1,0,0,1,2,2,2,0.167,NA,NA,"Reserve","East",1996
"Patrick Ewing","NYK","12:00",3,7,0,0,2,2,1,2,3,1,3,1,0,2,8,0.429,NA,1,"Reserve","East",1996
"Shawn Kemp","SEA","22:00",6,12,0,2,1,2,2,2,4,1,0,1,3,4,13,0.5,0,0.5,"Starter","West",1996
"Jason Kidd","DAL","22:00",3,4,1,2,0,0,2,4,6,10,2,0,2,1,7,0.75,0.5,NA,"Starter","West",1996
"Clyde Drexler","HOU","19:00",5,8,1,4,0,0,0,2,2,3,3,0,3,0,11,0.625,0.25,NA,"Starter","West",1996
"Charles Barkley","PHO","16:00",4,6,0,0,0,0,0,0,0,1,0,0,2,1,8,0.667,NA,NA,"Starter","West",1996
"Hakeem Olajuwon","HOU","14:00",2,8,0,0,0,0,1,2,3,0,0,0,0,2,4,0.25,NA,NA,"Starter","West",1996
"Gary Payton","SEA","28:00",6,10,0,1,6,6,3,2,5,5,5,0,6,1,18,0.6,0,1,"Reserve","West",1996
"Mitch Richmond","SAC","25:00",3,10,0,3,1,2,0,2,2,2,1,0,2,0,7,0.3,0,0.5,"Reserve","West",1996
"David Robinson","SAS","23:00",8,13,0,0,2,2,6,5,11,2,2,2,1,4,18,0.615,NA,1,"Reserve","West",1996
"Sean Elliott","SAS","22:00",5,12,2,6,1,1,2,3,5,2,0,0,2,4,13,0.417,0.333,1,"Reserve","West",1996
"Karl Malone","UTA","20:00",2,6,0,0,7,8,0,9,9,2,1,0,1,1,11,0.333,NA,0.875,"Reserve","West",1996
"John Stockton","UTA","18:00",2,9,0,7,0,0,0,1,1,3,0,0,1,2,4,0.222,0,NA,"Reserve","West",1996
"Dikembe Mutombo","DEN","11:00",2,4,0,0,0,0,6,3,9,0,0,0,3,3,4,0.5,NA,NA,"Reserve","West",1996
