"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Kareem Abdul-Jabbar","LAL","32:00",9,12,0,0,2,3,2,4,6,5,1,4,1,1,20,0.75,NA,0.667,"Starter","West",1983
"Maurice Lucas","PHO","27:00",3,8,0,0,0,1,1,6,7,1,0,0,1,1,6,0.375,NA,0,"Starter","West",1983
"Alex English","DEN","23:00",7,14,0,0,0,1,2,2,4,0,1,2,1,2,14,0.5,NA,0,"Starter","West",1983
"David Thompson","SEA","17:00",5,7,0,0,0,0,0,1,1,2,1,0,3,2,10,0.714,NA,NA,"Starter","West",1983
"Jim Paxson","POR","17:00",5,7,0,0,1,2,0,0,0,1,2,0,4,0,11,0.714,NA,0.5,"Reserve","West",1983
"Jack Sikma","SEA","17:00",4,6,0,0,0,0,1,2,3,1,1,1,1,2,8,0.667,NA,NA,"Reserve","West",1983
"Artis Gilmore","SAS","16:00",2,4,0,0,1,2,1,4,5,1,1,0,1,4,5,0.5,NA,0.5,"Reserve","West",1983
"Jamaal Wilkes","LAL","15:00",4,6,0,0,2,2,1,1,2,2,1,0,2,0,10,0.667,NA,1,"Reserve","West",1983
"Gus Williams","SEA","15:00",3,9,0,0,0,0,1,0,1,4,1,0,3,1,6,0.333,NA,NA,"Reserve","West",1983
"George Gervin","SAS","14:00",3,8,1,1,2,2,0,0,0,3,2,0,0,3,9,0.375,1,1,"Reserve","West",1983
"Kiki Vandeweghe","DEN","14:00",3,4,0,0,1,2,0,3,3,1,1,0,0,0,7,0.75,NA,0.5,"Reserve","West",1983
"Isiah Thomas","DET","39:00",9,17,0,2,3,3,2,3,5,15,4,0,6,4,21,0.529,0,1,"Starter","East",1984
"Julius Erving","PHI","36:00",14,22,0,0,6,8,4,4,8,5,2,2,1,4,34,0.636,NA,0.75,"Starter","East",1984
"Larry Bird","BOS","33:00",6,18,0,0,4,4,1,6,7,3,2,0,2,1,16,0.333,NA,1,"Starter","East",1984
"Robert Parish","BOS","28:00",5,11,0,0,2,4,4,11,15,2,3,0,4,1,12,0.455,NA,0.5,"Starter","East",1984
"Sidney Moncrief","MIL","26:00",3,6,0,0,2,2,1,4,5,2,5,0,4,3,8,0.5,NA,1,"Starter","East",1984
"Bernard King","NYK","22:00",8,13,0,0,2,5,2,1,3,4,0,0,0,2,18,0.615,NA,0.4,"Reserve","East",1984
"Andrew Toney","PHI","22:00",6,11,0,0,1,1,0,0,0,3,2,0,0,0,13,0.545,NA,1,"Reserve","East",1984
"Bill Laimbeer","DET","17:00",6,8,0,0,1,1,1,4,5,0,1,2,0,3,13,0.75,NA,1,"Reserve","East",1984
"Jeff Ruland","WSB","13:00",2,3,0,0,2,2,1,3,4,2,1,0,2,2,6,0.667,NA,1,"Reserve","East",1984
"Otis Birdsong","NJN","12:00",1,5,0,0,0,0,2,1,3,1,0,0,0,1,2,0.2,NA,NA,"Reserve","East",1984
"Kevin McHale","BOS","11:00",3,7,0,0,4,6,2,3,5,0,0,0,2,1,10,0.429,NA,0.667,"Reserve","East",1984
"Kelly Tripucka","DET","6:00",0,0,0,0,1,2,0,0,0,2,1,0,2,1,1,NA,NA,0.5,"Reserve","East",1984
"Kareem Abdul-Jabbar","LAL","37:00",11,19,0,0,3,4,5,8,13,2,0,1,4,5,25,0.579,NA,0.75,"Starter","West",1984
"Magic Johnson","LAL","37:00",6,13,1,3,2,2,4,5,9,22,3,2,4,3,15,0.462,0.333,1,"Starter","West",1984
"George Gervin","SAS","21:00",5,6,0,0,3,3,0,2,2,1,0,1,6,5,13,0.833,NA,1,"Starter","West",1984
"Alex English","DEN","19:00",6,8,0,0,1,1,0,0,0,2,1,1,3,2,13,0.75,NA,1,"Starter","West",1984
